params=118.2M  attention=gated  block=2048  micro=16 accum=8 -> 262,144 tok/step  steps=3200
train_tokens=841,431,780  val_tokens=471,605  device=cuda
step  1350 | loss 5.3479 | lr 2.13e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1360 | loss 5.2855 | lr 2.12e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1370 | loss 5.3443 | lr 2.11e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1380 | loss 5.2896 | lr 2.09e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1390 | loss 5.2626 | lr 2.08e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1400 | loss 5.2979 | lr 2.07e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1410 | loss 5.2598 | lr 2.05e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step  1420 | loss 5.2393 | lr 2.04e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  1430 | loss 5.2768 | lr 2.03e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1440 | loss 5.3484 | lr 2.01e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1450 | loss 5.1696 | lr 2.00e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1460 | loss 5.0719 | lr 1.99e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1470 | loss 5.1193 | lr 1.97e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1480 | loss 5.1087 | lr 1.96e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1490 | loss 5.0268 | lr 1.94e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1500 | loss 5.1679 | lr 1.93e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
  [eval] step 1500 val_loss 5.2594
step  1510 | loss 5.1942 | lr 1.92e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1520 | loss 5.1971 | lr 1.90e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1530 | loss 5.1721 | lr 1.89e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1540 | loss 4.9343 | lr 1.88e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1550 | loss 5.0955 | lr 1.86e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1560 | loss 5.0298 | lr 1.85e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1570 | loss 5.0876 | lr 1.83e-04 |   1819ms |  144.1k tok/s | mfu 32.7%
step  1580 | loss 5.2020 | lr 1.82e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1590 | loss 5.1707 | lr 1.81e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1600 | loss 5.1244 | lr 1.79e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1610 | loss 4.9616 | lr 1.78e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1620 | loss 5.2280 | lr 1.76e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1630 | loss 5.0810 | lr 1.75e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1640 | loss 5.1133 | lr 1.73e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1650 | loss 4.9579 | lr 1.72e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1660 | loss 4.9964 | lr 1.71e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1670 | loss 5.0981 | lr 1.69e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1680 | loss 4.9526 | lr 1.68e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1690 | loss 5.0082 | lr 1.66e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1700 | loss 5.0121 | lr 1.65e-04 |   1821ms |  144.0k tok/s | mfu 32.7%
step  1710 | loss 4.9642 | lr 1.64e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1720 | loss 4.8576 | lr 1.62e-04 |   1819ms |  144.2k tok/s | mfu 32.8%
step  1730 | loss 5.0115 | lr 1.61e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1740 | loss 4.9692 | lr 1.59e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1750 | loss 5.0713 | lr 1.58e-04 |   1821ms |  143.9k tok/s | mfu 32.7%
  [eval] step 1750 val_loss 5.0046
step  1760 | loss 5.0862 | lr 1.57e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  1770 | loss 4.9823 | lr 1.55e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1780 | loss 4.8213 | lr 1.54e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1790 | loss 4.9323 | lr 1.52e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1800 | loss 5.0167 | lr 1.51e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  1810 | loss 4.9338 | lr 1.49e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1820 | loss 4.8748 | lr 1.48e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1830 | loss 4.6476 | lr 1.47e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1840 | loss 4.9549 | lr 1.45e-04 |   1817ms |  144.3k tok/s | mfu 32.8%
step  1850 | loss 4.7573 | lr 1.44e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1860 | loss 4.8718 | lr 1.42e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1870 | loss 4.8269 | lr 1.41e-04 |   1814ms |  144.5k tok/s | mfu 32.8%
step  1880 | loss 4.9148 | lr 1.40e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1890 | loss 4.8742 | lr 1.38e-04 |   1817ms |  144.2k tok/s | mfu 32.8%
step  1900 | loss 4.8041 | lr 1.37e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1910 | loss 4.7675 | lr 1.36e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1920 | loss 4.9539 | lr 1.34e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1930 | loss 4.8232 | lr 1.33e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1940 | loss 4.6670 | lr 1.31e-04 |   1818ms |  144.2k tok/s | mfu 32.8%
step  1950 | loss 4.6288 | lr 1.30e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
step  1960 | loss 4.4797 | lr 1.29e-04 |   1816ms |  144.3k tok/s | mfu 32.8%
step  1970 | loss 4.7602 | lr 1.27e-04 |   1819ms |  144.1k tok/s | mfu 32.8%
step  1980 | loss 4.7541 | lr 1.26e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  1990 | loss 4.7439 | lr 1.25e-04 |   1815ms |  144.4k tok/s | mfu 32.8%
step  2000 | loss 4.6836 | lr 1.23e-04 |   1814ms |  144.5k tok/s | mfu 32.8%
  [eval] step 2000 val_loss 4.7994
step  2010 | loss 4.6557 | lr 1.22e-04 |   1816ms |  144.4k tok/s | mfu 32.8%
